Actor,Film,Year,Genre,Gender,Races,Debut year
Amai Kamarudin,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Malay,2008
Josiah Hogan,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Malay,2013
Shaharuddin Thamby,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Malay,1989
Sharifah Shahirah,7 Hari Kisah Cinta Langkawi,2019,Comedy,Female,Malay,1993
Chi Azim ,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Malay,2019
Mark Adam,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Others,2019
Peter Davis,7 Hari Kisah Cinta Langkawi,2019,Comedy,Male,Others,2019
Tengku Ely,7 Hari Kisah Cinta Langkawi,2019,Comedy,Female,Malay,2019
Tengku Norsaili,7 Hari Kisah Cinta Langkawi,2019,Comedy,Female,Malay,2019
Aeril Zafrel,7ujuh,2018,Thriller,Male,Malay,2010
Cristina Suzanne,7ujuh,2018,Thriller,Female,Malay,2007
Dee Dee Nash,7ujuh,2018,Thriller,Female,Malay,2018
Johan As'ari,7ujuh,2018,Thriller,Male,Malay,2013
Marsha Milan Londoh,7ujuh,2018,Thriller,Female,Malay,2006
Pekin Ibrahim,7ujuh,2018,Thriller,Male,Malay,2004
Riz Amin,7ujuh,2018,Thriller,Male,Malay,2007
Siti Saleha,7ujuh,2018,Thriller,Female,Malay,2013
Adibah Yunus,Abang Lejen,2015,Action,Female,Malay,2012
Along Eyzendy,Abang Lejen,2015,Action,Male,Malay,2003
Azlan Komeng,Abang Lejen,2015,Action,Male,Malay,2000
Fadlan Hazim,Abang Lejen,2015,Action,Male,Malay,2014
Farid Kamil,Abang Lejen,2015,Action,Male,Malay,2003
Hamid Gurkha,Abang Lejen,2015,Action,Male,Malay,1978
Intan Ladyana,Abang Lejen,2015,Action,Female,Malay,2006
Shahfiez,Abang Lejen,2015,Action,Male,Malay,2007
A. Galak,Abang Long Fadil 2,2017,Comedy,Male,Malay,1981
AC Mizal,Abang Long Fadil 2,2017,Comedy,Male,Malay,1999
Achey Bocey,Abang Long Fadil 2,2017,Comedy,Male,Malay,2014
Hafiz Bahari,Abang Long Fadil 2,2017,Comedy,Male,Malay,2012
Zizan Razak,Abang Long Fadil 2,2017,Comedy,Male,Malay,2010
Shuib Sepahtu,Abang Long Fadil 2,2017,Comedy,Male,Malay,2012
Syamsul Yusof,Abang Long Fadil 2,2017,Comedy,Male,Malay,1998
Tania Hudson,Abang Long Fadil 2,2017,Comedy,Female,Malay,2012
Wak Doyok,Abang Long Fadil 2,2017,Comedy,Male,Malay,2017
Abam Bocey,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2014
Airis Yasmin,Ada Apa Dekat Bus Stop,2015,Comedy,Female,Malay,2010
Erwan Razak,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2015
Kazar Saisi,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2007
Leez AF,Ada Apa Dekat Bus Stop,2015,Comedy,Female,Malay,2009
Myo Oh Chentaku,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2015
Tauke Jambu,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2003
Zaib,Ada Apa Dekat Bus Stop,2015,Comedy,Male,Malay,2015
Ahmad Adnin Zidane Muslim,Adiwiraku,2017,Drama,Male,Malay,2017
Farra Noradzlina Safwan,Adiwiraku,2017,Drama,Female,Malay,2017
Geoff Andre Feyaerts,Adiwiraku,2017,Drama,Male,Others,2016
Imran Shahaludin,Adiwiraku,2017,Drama,Male,Malay,2017
Mohamad Ajwad Mohd Sobri,Adiwiraku,2017,Drama,Male,Malay,2017
Muhammad Alif Abu Bakar,Adiwiraku,2017,Drama,Male,Malay,2017
Nur Irdina Tasnim Ishak,Adiwiraku,2017,Drama,Female,Malay,2017
Sangeeta Krishnasamy,Adiwiraku,2017,Drama,Female,Indian,2009
Xavier Fong,Adiwiraku,2017,Drama,Male,Chinese,2010
Afiq Muiz,I'm Not A Terrorist,2017,Action,Male,Malay,2017
Betty Banafe,I'm Not A Terrorist,2017,Action,Male,Malay,2004
Chacha Maembong,I'm Not A Terrorist,2017,Action,Female,Malay,2017
Dato' Jalaluddin Hassan,I'm Not A Terrorist,2017,Action,Male,Malay,1994
Farida Jalal,I'm Not A Terrorist,2017,Action,Female,Indian,1967
Gulshan Grover,I'm Not A Terrorist,2017,Action,Male,Indian,1980
Kapten Khir Mohd Noor,I'm Not A Terrorist,2017,Action,Male,Malay,2011
Rahul Dev,I'm Not A Terrorist,2017,Action,Male,Indian,1997
Amalia Syakirah,Aku Haus Darahmu,2017,Horror,Female,Malay,2017
Deanna Yusoff,Aku Haus Darahmu,2017,Horror,Female,Malay,1992
Zoey Rahman,Aku Haus Darahmu,2017,Horror,Male,Malay,2010
Nad Zainal,Aku Haus Darahmu,2017,Horror,Female,Malay,2012
Sweet Qismina,Aku Haus Darahmu,2017,Horror,Female,Malay,2008
Aleza Shadan,Aliff Dalam 7 Dimensi,2016,Horror,Female,Malay,2016
Alif Satar,Aliff Dalam 7 Dimensi,2016,Horror,Male,Malay,2016
Hasnul Rahmat,Aliff Dalam 7 Dimensi,2016,Horror,Male,Malay,1997
Izzue Islam,Aliff Dalam 7 Dimensi,2016,Horror,Male,Malay,2011
Juliana Evans,Aliff Dalam 7 Dimensi,2016,Horror,Female,Malay,2008
Kaka Azraff,Aliff Dalam 7 Dimensi,2016,Horror,Female,Malay,2016
Man Kadir,Aliff Dalam 7 Dimensi,2016,Horror,Male,Malay,1981
Mimi Haliza,Aliff Dalam 7 Dimensi,2016,Horror,Female,Malay,2016
Muhd Sufri Bungkan,Aliff Dalam 7 Dimensi,2016,Horror,Male,Malay,2016
Amylia Natasha Aziz,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2016
Azmir Cuit,Anak Mami Nasi Kandaq,2016,Comedy,Male,Malay,2016
Chik Pak Man Telo,Anak Mami Nasi Kandaq,2016,Comedy,Male,Malay,2016
Elisya Sandha,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2015
Ezzaty Abdullah,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2015
Fasha Sandha,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2003
Nur Risteena,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2013
Qi Razali,Anak Mami Nasi Kandaq,2016,Comedy,Male,Malay,2013
Sheila Mambo,Anak Mami Nasi Kandaq,2016,Comedy,Female,Malay,2001
Azlan Komeng,Anak Perjanjian Syaitan,2019,Horror,Male,Malay,2000
Chacha Maembong,Anak Perjanjian Syaitan,2019,Horror,Female,Malay,2017
Jasmin Hamid,Anak Perjanjian Syaitan,2019,Horror,Female,Malay,1991
Nadzmi Adhwa,Anak Perjanjian Syaitan,2019,Horror,Male,Malay,2016
Sahronizam Noor,Anak Perjanjian Syaitan,2019,Horror,Male,Malay,2004
Wan Sharmila,Anak Perjanjian Syaitan,2019,Horror,Female,Malay,2011
Badrul Muhayat,Anak Perjanjian Syaitan,2019,Horror,Male,Malay,1990
Roslan Salleh,Anak Perjanjian Syaitan,2019,Horror,Male,Malay,2002
Bil Azali,Apartment,2015,Horror,Male,Malay,2015
Kamal Adli,Apartment,2015,Horror,Male,Malay,2010
Naqia Nasuition,Apartment,2015,Horror,Female,Malay,2015
Kapten Khir Mohd Noor,Awang Gerudi,2018,Comedy,Male,Malay,2011
Zoey Rahman,Awang Gerudi,2018,Comedy,Male,Malay,2010
Aprena Manrose,Awang Gerudi,2018,Comedy,Female,Malay,2018
Ika Nabella,Awang Gerudi,2018,Comedy,Female,Malay,2013
Mustapha Kamal,Awang Gerudi,2018,Comedy,Male,Malay,1988
Accapan,Awang Gerudi,2018,Comedy,Male,Indian,1990
Ebby Yus,Awang Gerudi,2018,Comedy,Male,Malay,1988
T.S Jeffry,Awang Gerudi,2018,Comedy,Male,Chinese,1996
Rashidah Jaafar,Awang Gerudi,2018,Comedy,Female,Malay,1983
Fasha Sandha,Badang,2018,Action,Female,Malay,2003
Aliff Syukri,Badang,2018,Action,Male,Malay,2018
Aminah Rhapor,Badang,2018,Action,Female,Malay,2015
Azhari Zain,Badang,2018,Action,Male,Malay,2009
Fareez Fauzi,Badang,2018,Action,Male,Malay,2017
Fauzi Nawawi,Badang,2018,Action,Male,Malay,2007
Kamarzaman,Badang,2018,Action,Male,Malay,2018
Nadia Brian,Badang,2018,Action,Female,Others,2018
Zalfa Zin,Badang,2018,Action,Female,Malay,2016
Adibah Yunus,Badi,2015,Horror,Female,Malay,2012
Rashidah Jaafar,Badi,2015,Horror,Female,Malay,1983
Atiqah Suhaime,Badi,2015,Horror,Female,Malay,2013
Ayang Abbas,Badi,2015,Horror,Female,Malay,2015
Azwan Kombos,Badi,2015,Horror,Male,Malay,2010
Epy Kodiang,Badi,2015,Horror,Male,Malay,2012
Hanif Safuan,Badi,2015,Horror,Male,Malay,2015
Navilya Husna,Badi,2015,Horror,Female,Malay,2015
Sharisa Haris,Badi,2015,Horror,Female,Malay,2014
